Recording	Participant	Timeline	TOI	Interval	Media	AOI	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	preparation_text		20817	254	87	713	82	9588	283	preparation_time		2,90093	20817	254	87	713	82	9588	283	2,90093	23267	11633	500	22767	2	9588	500	23313	11657	523	22790	2	9564	523	0			0			77	9564	10088	86,6													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	preparation_time		727	182	137	277	4	9428	137	preparation_time		2,84718	727	182	137	277	4	9428	137	2,84718	847	423	137	710	2	9428	137	980	490	197	783	2	9368	197	0			0			1	9368	9564	351,34													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	hawai	1	hawaii	rating		0				0			preparation_time			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	calories		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	duration		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	easiness		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	ingredients		12397	335	97	887	37	1151	97	preparation_text	preparation_text	2,75379	12397	335	97	887	37	1151	97	2,75379	13490	4497	97	13167	3	1151	97	13660	4553	160	13243	3	1088	160	0			0			31	1088	1248	873,2													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	picture		1853	185	67	310	10	945	143	preparation_text	preparation_text	2,88133	1853	185	67	310	10	945	143	2,88133	2227	1113	143	2083	2	945	143	2300	1150	193	2107	2	895	193	0			0			5	895	1088	301,79													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	preparation_text		12915	294	100	573	44	20505	393	preparation_text	preparation_text	2,86469	12587	293	100	573	43	20505	393	2,86411	14495	14495	14495	14495	1	20505	14495	14522	14522	14522	14522	1	20478	14522	0			0			41																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	preparation_time		403	202	157	247	2	16631	247	preparation_text	preparation_text	2,80727	403	202	157	247	2	16631	247	2,80727	427	427	427	427	1	16631	427	460	460	460	460	1	16598	460	0			0			1	16598	17058	201,84													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	indi_curry	1	curry	rating		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	calories		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	duration		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	schweinebraten	1	braten	easiness		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
